model,out_of_range_pct_raw,MAE_raw,MAE_clipped,delta_MAE_clipped_minus_raw,RMSE_raw,RMSE_clipped,delta_RMSE_clipped_minus_raw,R2_raw,R2_clipped,delta_R2_clipped_minus_raw
SVR,5.151515151515151,2.194627734359565,2.1089884771452256,-0.08563925721433918,2.716170872669306,2.6472570248760885,-0.06891384779321763,0.8167059823717481,0.8258889501675578,0.009182967795809738
PLSR,4.848484848484849,2.267298150421753,2.1743977562391263,-0.09290039418262674,2.863691201023683,2.7569337356435017,-0.10675746538018105,0.7962552224889325,0.8111631398079694,0.014907917319036845
ANN,2.5757575757575757,2.2889400289967803,2.240742372879476,-0.04819765611730409,2.9741290523427972,2.9390703634803557,-0.03505868886244157,0.7802374255903238,0.7853879602114646,0.00515053462114079
BiLSTM,0.15151515151515152,4.5584943291778215,4.558311496897027,-0.00018283228079418734,5.586266501194631,5.586264526508299,-1.9746863317848806e-06,0.22468637459952034,0.22468692272981394,5.481302935983479e-07
LSTM,0.0,4.70992559339061,4.70992559339061,0.0,5.57162077243172,5.57162077243172,0.0,0.22874638430328864,0.22874638430328864,0.0
SimpleRNN,0.0,4.878542408828784,4.878542408828784,0.0,5.721820099705719,5.721820099705719,0.0,0.18660309929450014,0.18660309929450014,0.0
DummyMean,0.0,5.5,5.5,0.0,6.34428877022476,6.34428877022476,0.0,0.0,0.0,0.0
