Model,MAE egg-disjoint,MAE row-level,RMSE egg-disjoint,RMSE row-level,R² egg-disjoint,R² row-level,MAE relative reduction (%)
SVR,2.194627734359565,2.0525769366495843,2.716170872669306,2.540943028428924,0.8167059823717481,0.8395927584168559,6.472660282470809
PLSR,2.267298150421753,2.1045128403332813,2.863691201023683,2.650512645109811,0.7962552224889325,0.8254604402015651,7.179704621476056
ANN,2.2889400289967803,2.1732060500768697,2.974129052342797,2.808225452818777,0.7802374255903238,0.8040712995314478,5.056225914780109
BiLSTM,4.5584943291778215,4.324740324176923,5.586266501194631,5.2648842429013865,0.2246863745995203,0.31132904121363214,5.127877499039445
LSTM,4.70992559339061,4.529460300158973,5.57162077243172,5.402699691884155,0.2287463843032886,0.274803379858754,3.83159541808648
SimpleRNN,4.878542408828784,4.829921446702999,5.721820099705719,5.655501156333558,0.1866030992945001,0.20534923405490157,0.9966288709060871
DummyMean,5.5,5.509222910927456,6.34428877022476,6.355292825734031,0.0,-0.0034719726913403637,-0.1676892895901167
