Model,Mean per-egg MAE (days),95% bootstrap CI,Average rank
SVR,2.194627734359565,2.025–2.375,1.7333333333333334
PLSR,2.2672981504217526,2.085–2.492,1.9333333333333331
ANN,2.362536481971091,2.173–2.583,2.333333333333333
BiLSTM,4.606888142901691,4.267–4.938,4.7
LSTM,4.784411194468989,4.610–4.964,4.833333333333333
SimpleRNN,4.949621465380746,4.757–5.138,5.466666666666667
