Model,MAE (days),RMSE (days),R²,Bias (days),Median AE (days),Within ±1 day (%),Within ±2 days (%),Within ±3 days (%)
SVR,2.194627734359565,2.716170872669306,0.8167059823717481,0.1478916317816244,1.9545671077685969,27.727272727272727,50.90909090909091,73.03030303030303
PLSR,2.267298150421753,2.863691201023683,0.7962552224889325,0.0061878178187895,1.8698614057252767,25.90909090909091,52.87878787878788,70.9090909090909
ANN,2.2889400289967803,2.974129052342797,0.7802374255903238,-0.1587034911067798,1.835875312487284,30.454545454545457,53.939393939393945,70.3030303030303
BiLSTM,4.5584943291778215,5.586266501194631,0.2246863745995203,-0.4277997392408474,4.152189215024313,13.93939393939394,25.151515151515152,36.96969696969697
LSTM,4.70992559339061,5.57162077243172,0.2287463843032886,-0.2249543159899086,4.44525941212972,10.909090909090908,22.575757575757574,32.27272727272727
SimpleRNN,4.878542408828784,5.721820099705719,0.1866030992945001,0.1739496914124247,4.790998299916585,9.848484848484848,19.848484848484848,31.818181818181817
DummyMean,5.5,6.34428877022476,0.0,0.0,5.5,9.090909090909092,18.181818181818183,27.27272727272727
