Model A,Model B,ΔMAE A−B (days),95% bootstrap CI,Holm-adjusted p,Rank-biserial r
SVR,PLSR,-0.0726704160621878,-0.215–0.056,0.6367921605706215,-0.1526881720430107
SVR,ANN,-0.1679087476115257,-0.340–0.006,0.2485506050288677,-0.3935483870967742
PLSR,ANN,-0.0952383315493377,-0.257–0.077,0.594227397814393,-0.2731182795698925
