Model,MAE (days),RMSE (days),R²,Complexity measure,Complexity value,Serialized size (MB),CPU latency (ms/spectrum),Throughput (spectra/s)
SVR,2.194627734359565,2.716170872669306,0.8167059823717481,n_support_vectors,288,0.742283821105957,1.3364709999734714,748.2392061031251
PLSR,2.267298150421753,2.863691201023683,0.7962552224889325,n_components,40,1.1269397735595703,0.5145555000183322,1943.42495603365
ANN,2.2889400289967803,2.974129052342797,0.7802374255903238,trainable_parameters,23361,0.1134634017944336,7.405335500010324,135.03777107716536
BiLSTM,4.5584943291778215,5.586266501194631,0.2246863745995203,trainable_parameters,37953,0.1798467636108398,2382.955389000017,0.4196469663746579
LSTM,4.70992559339061,5.57162077243172,0.2287463843032886,trainable_parameters,19009,0.0995445251464843,1120.4614039999117,0.8924894658844305
SimpleRNN,4.878542408828784,5.721820099705719,0.1866030992945001,trainable_parameters,6337,0.0512895584106445,689.500242000122,1.4503258143886528
