Model,Original MAE,Reversed MAE,Shuffled MAE,Friedman p,Kendall W
ANN,2.3625364819710906,2.3957959791040406,2.334753058113788,0.0481548541211964,0.101111111111111
BiLSTM,4.60688814290169,4.576888958355555,4.341408513232324,0.6483443410015073,0.0144444444444445
LSTM,4.78441119446899,4.750817533131313,4.446083565378788,0.0145039633367809,0.1411111111111106
SimpleRNN,4.949621465380746,5.010567159444445,4.681051796434343,0.0145039633367809,0.1411111111111106
