model,MAE_days_eggdisjoint,RMSE_days_eggdisjoint,R2_eggdisjoint,MAE_days_rowlevel,RMSE_days_rowlevel,R2_rowlevel,MAE_optimism_gap_days,RMSE_optimism_gap_days,R2_inflation,MAE_relative_reduction_pct
SVR,2.194627734359565,2.716170872669306,0.8167059823717481,2.0525769366495843,2.540943028428924,0.8395927584168559,0.14205079770998053,0.17522784424038207,0.022886776045107804,6.472660282470809
PLSR,2.267298150421753,2.863691201023683,0.7962552224889325,2.1045128403332813,2.650512645109811,0.8254604402015651,0.16278531008847175,0.21317855591387191,0.029205217712632514,7.179704621476056
ANN,2.2889400289967803,2.974129052342797,0.7802374255903238,2.1732060500768697,2.808225452818777,0.8040712995314478,0.11573397891991055,0.1659035995240199,0.023833873941124017,5.056225914780109
BiLSTM,4.5584943291778215,5.586266501194631,0.2246863745995203,4.324740324176923,5.2648842429013865,0.31132904121363214,0.2337540050008986,0.3213822582932444,0.08664266661411185,5.127877499039445
LSTM,4.70992559339061,5.57162077243172,0.2287463843032886,4.529460300158973,5.402699691884155,0.274803379858754,0.18046529323163707,0.16892108054756427,0.04605699555546541,3.83159541808648
SimpleRNN,4.878542408828784,5.721820099705719,0.1866030992945001,4.829921446702999,5.655501156333558,0.20534923405490157,0.04862096212578493,0.0663189433721616,0.01874613476040146,0.9966288709060871
DummyMean,5.5,6.34428877022476,0.0,5.509222910927456,6.355292825734031,-0.0034719726913403637,-0.009222910927456418,-0.01100405550927075,-0.0034719726913403637,-0.1676892895901167
