model,mean_per_egg_MAE_days,bootstrap95_CI_low,bootstrap95_CI_high,SD_per_egg_MAE_days,median_per_egg_MAE_days,IQR_per_egg_MAE_days,average_rank_lower_is_better
SVR,2.194627734359565,2.0254450702589812,2.3751005980477147,0.49446166288771715,2.1184310916928837,0.6230813474484624,1.7333333333333334
PLSR,2.2672981504217526,2.084665853383648,2.4920516458342936,0.583718530698641,2.2245504742485265,0.45539286600347895,1.9333333333333333
ANN,2.362536481971091,2.1725601538304575,2.582523074540112,0.5866195793953007,2.249990705287818,0.5417093491802609,2.3333333333333335
BiLSTM,4.606888142901691,4.266540381152541,4.938037951678001,0.951644167463697,4.632080522450534,1.4473191111376797,4.7
LSTM,4.784411194468989,4.610001836101515,4.9637152271529645,0.5037686316354295,4.761397119724389,0.4366813130450984,4.833333333333333
SimpleRNN,4.949621465380746,4.7566183675464355,5.137865046495289,0.5361602457680681,5.036010249094529,0.7868453706755778,5.466666666666667
