model,n_eggs,friedman_chi2,df,p_value,kendall_W,significant_0.05
ANN,30,6.066666666666663,2,0.04815485412119648,0.10111111111111105,True
SimpleRNN,30,8.46666666666664,2,0.014503963336780992,0.14111111111111066,True
LSTM,30,8.46666666666664,2,0.014503963336780992,0.14111111111111066,True
BiLSTM,30,0.8666666666666742,2,0.6483443410015073,0.01444444444444457,False
