model,MAE_days,RMSE_days,R2,bias_days,median_AE_days,within_1d_pct,within_2d_pct,within_3d_pct,source
SVR,2.194627734359565,2.716170872669306,0.8167059823717481,0.1478916317816244,1.9545671077685969,27.727272727272727,50.90909090909091,73.03030303030303,NB03 deterministic OOF
PLSR,2.2672981504217526,2.8636912010236832,0.7962552224889325,0.0061878178187896,1.8698614057252767,25.90909090909091,52.87878787878788,70.9090909090909,NB03 deterministic OOF
ANN,2.2889400289967803,2.9741290523427977,0.7802374255903238,-0.1587034911067798,1.8358753124872844,30.454545454545457,53.939393939393945,70.3030303030303,NB04 seed-mean OOF predictions (descriptive only)
BiLSTM,4.5584943291778215,5.586266501194631,0.2246863745995203,-0.4277997392408474,4.152189215024313,13.93939393939394,25.151515151515152,36.96969696969697,NB04 seed-mean OOF predictions (descriptive only)
LSTM,4.70992559339061,5.57162077243172,0.2287463843032886,-0.2249543159899086,4.44525941212972,10.909090909090908,22.575757575757574,32.27272727272727,NB04 seed-mean OOF predictions (descriptive only)
SimpleRNN,4.878542408828784,5.721820099705719,0.1866030992945001,0.1739496914124247,4.790998299916585,9.848484848484848,19.848484848484848,31.818181818181817,NB04 seed-mean OOF predictions (descriptive only)
DummyMean,5.5,6.34428877022476,0.0,0.0,5.5,9.090909090909092,18.181818181818183,27.27272727272727,NB03 deterministic OOF
